mitre_id,name,tactic,description,url
T1134.003,Make and Impersonate Token,Stealth|Privilege Escalation,"Adversaries may make new tokens and impersonate users to escalate privileges and bypass access controls. For example, if an adversary has a username and password but the user is not logged onto the system the adversar...",https://attack.mitre.org/techniques/T1134/003
T1552.006,Group Policy Preferences,Credential Access,Adversaries may attempt to find unsecured credentials in Group Policy Preferences (GPP). GPP are tools that allow administrators to create domain policies with embedded credentials. These policies allow administrators...,https://attack.mitre.org/techniques/T1552/006
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Exfiltration,Adversaries may steal data by exfiltrating it over an asymmetrically encrypted network protocol other than that of the existing command and control channel. The data may also be sent to an alternate network location f...,https://attack.mitre.org/techniques/T1048/002
T1087.004,Cloud Account,Discovery,"Adversaries may attempt to get a listing of cloud accounts. Cloud accounts are those created and configured by an organization for use by users, remote support, services, or for administration of resources within a cl...",https://attack.mitre.org/techniques/T1087/004
T1683.002,Audio-Visual Content,Resource Development,"Adversaries may create or manipulate audio, image, and video content to support targeting and malicious operations. Adversaries may also use synthetic voice recordings, real-time altered audio or video during live int...",https://attack.mitre.org/techniques/T1683/002
T1057,Process Discovery,Discovery,Adversaries may attempt to get information about running processes on a system. Information obtained could be used to gain an understanding of common software/applications running on systems within the network. Admini...,https://attack.mitre.org/techniques/T1057
T1556.008,Network Provider DLL,Defense Impairment|Persistence|Credential Access,Adversaries may register malicious network provider dynamic link libraries (DLLs) to capture cleartext user credentials during the authentication process. Network provider DLLs allow Windows to interface with specific...,https://attack.mitre.org/techniques/T1556/008
T1546.003,Windows Management Instrumentation Event Subscription,Privilege Escalation|Persistence,"Adversaries may establish persistence and elevate privileges by executing malicious content triggered by a Windows Management Instrumentation (WMI) event subscription. WMI can be used to install event filters, provide...",https://attack.mitre.org/techniques/T1546/003
T1596.004,CDNs,Reconnaissance,"Adversaries may search content delivery network (CDN) data about victims that can be used during targeting. CDNs allow an organization to host content from a distributed, load balanced array of servers. CDNs may also ...",https://attack.mitre.org/techniques/T1596/004
T1497.002,User Activity Based Checks,Stealth|Discovery,Adversaries may employ various user activity checks to detect and avoid virtualization and analysis environments. This may include changing behaviors based on the results of checks for the presence of artifacts indica...,https://attack.mitre.org/techniques/T1497/002
T1496.004,Cloud Service Hijacking,Impact,"Adversaries may leverage compromised software-as-a-service (SaaS) applications to complete resource-intensive tasks, which may impact hosted service availability.",https://attack.mitre.org/techniques/T1496/004
T1585.003,Cloud Accounts,Resource Development,"Adversaries may create accounts with cloud providers that can be used during targeting. Adversaries can use cloud accounts to further their operations, including leveraging cloud storage services such as Dropbox, MEGA...",https://attack.mitre.org/techniques/T1585/003
T1072,Software Deployment Tools,Execution|Lateral Movement,Adversaries may gain access to and use centralized software suites installed within an enterprise to execute commands and move laterally through the network. Configuration management and software deployment applicatio...,https://attack.mitre.org/techniques/T1072
T1041,Exfiltration Over C2 Channel,Exfiltration,Adversaries may steal data by exfiltrating it over an existing command and control channel. Stolen data is encoded into the normal communications channel using the same protocol as command and control communications.,https://attack.mitre.org/techniques/T1041
